"Statistic Label","Census Year","Sex","Regular Unpaid Help","Principal Economic Status","UNIT","VALUE"
"Carers","2011","Both sexes","All carers","All persons aged 15 years and over","Number","182884"
"Carers","2011","Both sexes","All carers","Persons at work","Number","89640"
"Carers","2011","Both sexes","All carers","Unemployed looking for first regular job","Number","1058"
"Carers","2011","Both sexes","All carers","Unemployed having lost or given up previous job","Number","17370"
"Carers","2011","Both sexes","All carers","Student or pupil","Number","7441"
"Carers","2011","Both sexes","All carers","Looking after home/family","Number","36612"
"Carers","2011","Both sexes","All carers","Retired","Number","21260"
"Carers","2011","Both sexes","All carers","Unable to work due to permanent sickness or disability","Number","7945"
"Carers","2011","Both sexes","All carers","Others not in labour force","Number","1558"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","All persons aged 15 years and over","Number","78469"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Persons at work","Number","48221"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Unemployed looking for first regular job","Number","455"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Unemployed having lost or given up previous job","Number","6722"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Student or pupil","Number","4677"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Looking after home/family","Number","8775"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Retired","Number","6926"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","2400"
"Carers","2011","Both sexes","1-14 hours unpaid help per week","Others not in labour force","Number","293"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","All persons aged 15 years and over","Number","28995"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Persons at work","Number","14469"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Unemployed looking for first regular job","Number","174"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Unemployed having lost or given up previous job","Number","3289"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Student or pupil","Number","980"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Looking after home/family","Number","5464"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Retired","Number","3005"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","1421"
"Carers","2011","Both sexes","15-28 hours unpaid help per week","Others not in labour force","Number","193"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","All persons aged 15 years and over","Number","14031"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Persons at work","Number","6348"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Unemployed looking for first regular job","Number","83"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Unemployed having lost or given up previous job","Number","1478"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Student or pupil","Number","333"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Looking after home/family","Number","3392"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Retired","Number","1584"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","678"
"Carers","2011","Both sexes","29-42 hours unpaid help per week","Others not in labour force","Number","135"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","All persons aged 15 years and over","Number","39820"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Persons at work","Number","11832"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Unemployed looking for first regular job","Number","113"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Unemployed having lost or given up previous job","Number","3196"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Student or pupil","Number","500"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Looking after home/family","Number","14796"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Retired","Number","6646"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","1981"
"Carers","2011","Both sexes","43 or more hours unpaid help per week","Others not in labour force","Number","756"
"Carers","2011","Both sexes","Not stated","All persons aged 15 years and over","Number","21569"
"Carers","2011","Both sexes","Not stated","Persons at work","Number","8770"
"Carers","2011","Both sexes","Not stated","Unemployed looking for first regular job","Number","233"
"Carers","2011","Both sexes","Not stated","Unemployed having lost or given up previous job","Number","2685"
"Carers","2011","Both sexes","Not stated","Student or pupil","Number","951"
"Carers","2011","Both sexes","Not stated","Looking after home/family","Number","4185"
"Carers","2011","Both sexes","Not stated","Retired","Number","3099"
"Carers","2011","Both sexes","Not stated","Unable to work due to permanent sickness or disability","Number","1465"
"Carers","2011","Both sexes","Not stated","Others not in labour force","Number","181"
"Carers","2011","Male","All carers","All persons aged 15 years and over","Number","70925"
"Carers","2011","Male","All carers","Persons at work","Number","38792"
"Carers","2011","Male","All carers","Unemployed looking for first regular job","Number","558"
"Carers","2011","Male","All carers","Unemployed having lost or given up previous job","Number","9928"
"Carers","2011","Male","All carers","Student or pupil","Number","3217"
"Carers","2011","Male","All carers","Looking after home/family","Number","3752"
"Carers","2011","Male","All carers","Retired","Number","10597"
"Carers","2011","Male","All carers","Unable to work due to permanent sickness or disability","Number","3512"
"Carers","2011","Male","All carers","Others not in labour force","Number","569"
"Carers","2011","Male","1-14 hours unpaid help per week","All persons aged 15 years and over","Number","32162"
"Carers","2011","Male","1-14 hours unpaid help per week","Persons at work","Number","21000"
"Carers","2011","Male","1-14 hours unpaid help per week","Unemployed looking for first regular job","Number","233"
"Carers","2011","Male","1-14 hours unpaid help per week","Unemployed having lost or given up previous job","Number","3826"
"Carers","2011","Male","1-14 hours unpaid help per week","Student or pupil","Number","2077"
"Carers","2011","Male","1-14 hours unpaid help per week","Looking after home/family","Number","436"
"Carers","2011","Male","1-14 hours unpaid help per week","Retired","Number","3431"
"Carers","2011","Male","1-14 hours unpaid help per week","Unable to work due to permanent sickness or disability","Number","1034"
"Carers","2011","Male","1-14 hours unpaid help per week","Others not in labour force","Number","125"
"Carers","2011","Male","15-28 hours unpaid help per week","All persons aged 15 years and over","Number","10741"
"Carers","2011","Male","15-28 hours unpaid help per week","Persons at work","Number","5939"
